part_category,category,stat_desc,stat,source_file_uri
1,GRAND THEFT AUTO,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,091,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
1,FORCIBLE RAPE,"RAPE BY FORCE, FEMALE UNDER 18",023,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2019.csv
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2022.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2022.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,FRAUD AND NSF CHECKS,FRAUD: Fraudulent Credit Applications,111,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2015.csv
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW - KNIFE",052,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2016.csv
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors",399,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2016.csv
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2016.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2017.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2017.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2017.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Unlawful Sexual Intercourse,121,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2018.csv
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2019.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2020.csv
2,FRAUD AND NSF CHECKS,"IDENTITY THEFT, ATTEMPT/POSSESSION OF PROFILE INFO",119,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2022.csv
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: CHILD ASSAULT",059,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2022.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2024.csv
1,FORCIBLE RAPE,"RAPE, FORCIBLE: Rape by Force, Female 18 YRS +",021,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2026_ytd.csv
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (GOODS/SERVICES/CREDIT),117,s3://crimenet-data/raw_files/landing/los_angeles_county_sheriff/lasd_part_i_ii_2014.csv
