description,crime_code,weapon,source_file_uri
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY,23D,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY,23D,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23H,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,KNIFE_CUTTING_INSTRUMENT,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AGG. ASSAULT,13A,FIREARM,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
FRAUD,26A,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
FRAUD,26A,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY,23H,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
BURGLARY,220,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
INTIMIDATION,13C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
ROBBERY,120,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
