iucr,description,fbi_code,primary_type,row_count
1581,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,17,SEX OFFENSE,325
1505,CALL OPERATION,16,PROSTITUTION,317
2220,ILLEGAL POSSESSION BY MINOR,22,LIQUOR LAW VIOLATION,313
4255,UNLAWFUL INTERFERE/VISITATION,26,KIDNAPPING,313
4510,PROBATION VIOLATION,26,OTHER OFFENSE,304
0558,AGG PRO.EMP: OTHER DANG WEAPON,04A,ASSAULT,302
3760,OBSTRUCTING SERVICE,24,INTERFERENCE WITH PUBLIC OFFICER,300
2830,OBSCENE TELEPHONE CALLS,17,OTHER OFFENSE,300
031B,ARMED: OTHER FIREARM,03,ROBBERY,299
2018,MANU/DELIVER:SYNTHETIC DRUGS,18,NARCOTICS,298
0918,"CYCLE, SCOOTER, BIKE NO VIN",07,MOTOR VEHICLE THEFT,297
1512,SOLICIT FOR PROSTITUTE,16,PROSTITUTION,294
1151,ILLEGAL POSSESSION CASH CARD,11,DECEPTIVE PRACTICE,292
1821,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,18,NARCOTICS,290
0261,AGGRAVATED: HANDGUN,02,CRIM SEXUAL ASSAULT,282
0550,AGGRAVATED POLICE OFFICER - HANDGUN,04A,ASSAULT,277
0553,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,04A,ASSAULT,259
0462,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",04B,BATTERY,259
2900,UNLAWFUL USE/SALE AIR RIFLE,15,WEAPONS VIOLATION,256
0550,AGGRAVATED PO: HANDGUN,04A,ASSAULT,252
2020,POSS: AMPHETAMINES,18,NARCOTICS,248
5131,VIOLENT OFFENDER: ANNUAL REGISTRATION,26,OTHER OFFENSE,245
2016,MANU/DELIVER:PCP,18,NARCOTICS,243
0557,AGG PRO.EMP:KNIFE/CUTTING INST,04A,ASSAULT,238
2020,POSSESS - AMPHETAMINES,18,NARCOTICS,238
1335,TO AIRPORT,26,CRIMINAL TRESPASS,233
0337,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,03,ROBBERY,232
2050,CRIMINAL DRUG CONSPIRACY,18,NARCOTICS,228
0558,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,04A,ASSAULT,228
1460,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15,WEAPONS VIOLATION,226
3100,MOB ACTION,24,PUBLIC PEACE VIOLATION,209
4210,KIDNAPPING,26,KIDNAPPING,202
2013,MANU/DELIVER: HEROIN(BRN/TAN),18,NARCOTICS,200
502T,TAMPER WITH MOTOR VEHICLE,26,OTHER OFFENSE,199
2012,MANUFACTURE / DELIVER - COCAINE,18,NARCOTICS,194
0263,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,02,CRIMINAL SEXUAL ASSAULT,193
2230,ILLEGAL CONSUMPTION BY MINOR,22,LIQUOR LAW VIOLATION,190
5131,VIOLENT OFFENDER - ANNUAL REGISTRATION,26,OTHER OFFENSE,189
